Date	Session	Exercise ID	Exercise Name	1RM	Total Weight Lifted	Max Weight Lifted	Weight Units	Set	Weight	Reps	Time From	Time To	Time Total	Distance	Distance Units	Angle	Calories	Average Heart Rate	Max Heart Rate	Notes
2025-01-13	1	74	"Front Raises (Dumbbell)"	66.7	1,200.0	50.0	lb	1	50.00	10										""
2025-01-13	1	74						2	50.00	8										
2025-01-13	1	74						3	50.00	6										
2025-01-13	1	76	"Lateral Raises (Dumbbell)"	49.7	760.0	40.0	lb	1	40.00	8										""
2025-01-13	1	76						2	40.00	6										
2025-01-13	1	76						3	40.00	5										
2025-01-13	1	-1603362153	"Delt Precor Press"	204.0	5,790.0	170.0	lb	1	100.00	25										""
2025-01-13	1	-1603362153						2	170.00	7										
2025-01-13	1	-1603362153						3	150.00	7										
2025-01-13	1	-1603362153						4	150.00	7										
2025-01-13	1	-1679107088	"Tri Pecor Cable Down"	127.8	3,260.0	110.0	lb	1	60.00	20										""
2025-01-13	1	-1679107088						2	110.00	6										
2025-01-13	1	-1679107088						3	100.00	6										
2025-01-13	1	-1679107088						4	100.00	8										
2025-01-13	1	1970422621	"Tri Precor Extensions"	104.5	3,120.0	90.0	lb	1	50.00	30										""
2025-01-13	1	1970422621						2	90.00	6										
2025-01-13	1	1970422621						3	90.00	6										
2025-01-13	1	1970422621						4	90.00	6										
2025-01-13	1	-1468095461	"Rotator, Cuft Flyers cable external"	26.1	135.0	22.5	lb	1	22.50	6										""
2025-01-13	1	250	"Machine Seated Rear Raises"	197.4	4,380.0	170.0	lb	1	100.00	20										""
2025-01-13	1	250						2	170.00	6										
2025-01-13	1	250						3	170.00	4										
2025-01-13	1	250						4	170.00	4										
2025-01-13	1	1051563442	"Pec Precor Fly"	255.5	6,520.0	220.0	lb	1	120.00	25										""
2025-01-13	1	1051563442						2	220.00	6										
2025-01-13	1	1051563442						3	220.00	5										
2025-01-13	1	1051563442						4	220.00	5										
2025-01-13	1	619794490	"Pec Precor Press"	220.7	4,660.0	190.0	lb	1	100.00	20										""
2025-01-13	1	619794490						2	190.00	6										
2025-01-13	1	619794490						3	190.00	4										
2025-01-13	1	619794490						4	190.00	4										
2025-01-13	1	296	"Bench Press (Smith Machine, Incline)"	185.5	3,640.0	170.0	lb	1	100.00	15										""
2025-01-13	1	296						2	170.00	4										
2025-01-13	1	296						3	170.00	2										
2025-01-13	1	296						4	140.00	8										
2025-01-13	1	153	"Reverse Wrist Curls (Barbell)"	53.3	1,040.0	40.0	lb	1	40.00	10										""
2025-01-13	1	153						2	40.00	8										
2025-01-13	1	153						3	40.00	8										
2025-01-14	1	204	"Russian Twists"	188.6	4,189.6	130.9	lb	1	45.00	12										""
2025-01-14	1	204						2	45.00	10										
2025-01-14	1	204						3	45.00	10										
2025-01-14	1	1818329018	"Abs Precor"	240.1	7,180.0	180.0	lb	1	100.00	25										""
2025-01-14	1	1818329018						2	180.00	10										
2025-01-14	1	1818329018						3	180.00	8										
2025-01-14	1	1818329018						4	180.00	8										
2025-01-14	1	299	"Leg-Hip Raises (Parallel Bar)"	126.9	2,283.5	95.1	lb	1	35.00	10										""
2025-01-14	1	299						2	35.00	8										
2025-01-14	1	299						3	35.00	6										
2025-01-14	1	2040265246	"Bi Precor Curls"	123.8	2,330.0	110.0	lb	1	60.00	15										""
2025-01-14	1	2040265246						2	110.00	5										
2025-01-14	1	2040265246						3	110.00	4										
2025-01-14	1	2040265246						4	110.00	4										
2025-01-14	1	1950531978	"Bi Arm Curls (Dumbbell, Standing) 1"	104.5	2,260.0	90.0	lb	1	40.00	25										""
2025-01-14	1	1950531978						2	90.00	6										
2025-01-14	1	1950531978						3	90.00	4										
2025-01-14	1	1950531978						4	90.00	4										
2025-01-14	1	1432726018	"Rotator, Cuft Flyers internal"	211.1	3,960.0	170.0	lb	1	70.00	25										""
2025-01-14	1	1432726018						2	170.00	8										
2025-01-14	1	1432726018						3	170.00	5										
2025-01-14	1	287	"Shrugs (Smith Machine)"	365.9	8,415.0	315.0	lb	1	225.00	15										""
2025-01-14	1	287						2	315.00	6										
2025-01-14	1	287						3	315.00	5										
2025-01-14	1	287						4	315.00	5										
2025-01-14	1	-1170200923	"Lats Precor Down"	243.9	5,770.0	210.0	lb	1	110.00	20										""
2025-01-14	1	-1170200923						2	210.00	6										
2025-01-14	1	-1170200923						3	210.00	6										
2025-01-14	1	-1170200923						4	210.00	5										
2025-01-14	1	-1498965558	"Mid Back Precor Row"	168.8	3,750.0	150.0	lb	1	100.00	15										""
2025-01-14	1	-1498965558						2	150.00	5										
2025-01-14	1	-1498965558						3	150.00	5										
2025-01-14	1	-1498965558						4	150.00	5										
2025-01-14	1	-828121428	"Lats Cable Precor Pull Down"	186.2	4,650.0	150.0	lb	1	100.00	15										""
2025-01-14	1	-828121428						2	150.00	8										
2025-01-14	1	-828121428						3	150.00	7										
2025-01-14	1	-828121428						4	150.00	6										
2025-01-14	1	-732744357	"Mid Back Precor Cable Row"	180.0	4,200.0	150.0	lb	1	100.00	15										""
2025-01-14	1	-732744357						2	150.00	7										
2025-01-14	1	-732744357						3	150.00	6										
2025-01-14	1	-732744357						4	150.00	5										
2025-01-15	1	362	"Lunges (Smith Machine)"	144.1	2,200.0	100.0	lb	1	100.00	12										""
2025-01-15	1	362						2	100.00	10										
2025-01-15	1	362						3	100.00	0										
2025-01-15	1	1257704043	"Legs Quad Precor Entension"	326.8	8,130.0	245.0	lb	1	150.00	15										""
2025-01-15	1	1257704043						2	245.00	10										
2025-01-15	1	1257704043						3	245.00	8										
2025-01-15	1	1257704043						4	245.00	6										
2025-01-15	1	1358989622	"Legs Ham Precor Curl"	197.4	5,220.0	170.0	lb	1	100.00	25										""
2025-01-15	1	1358989622						2	170.00	6										
